model_name,ACC,SEN,SPE
SVM_Morgen_Skin_sensitization,0.6960651289009498,0.6800804828973843,0.7291666666666666
SVM_Morgen_Eye_Irritaion,0.7561290322580645,0.7556221889055472,0.7592592592592593
SVM_MACCS_Eye_Irritaion,0.7741935483870968,0.7867528271405493,0.7243589743589743
SVM_MACCS_Skin_sensitization,0.6824966078697422,0.6857142857142857,0.6773049645390071
SVM_Mordred_Skin_sensitization,0.5468113975576662,0.5470668485675307,0.5
SVM_Mordred_Eye_Irritaion,0.6812903225806451,0.6835278858625162,0.25
RF_MACCS_Eye_Irritaion,0.7896774193548387,0.8115449915110357,0.7204301075268817
RF_MACCS_Skin_sensitization,0.6716417910447762,0.6859122401847575,0.6513157894736842
RF_Morgen_Eye_Irritaion,0.76,0.7838283828382838,0.6745562130177515
RF_Morgen_Skin_sensitization,0.6906377204884667,0.6881720430107527,0.6948529411764706
RF_Mordred_Eye_Irritaion,0.7767741935483871,0.7883683360258481,0.7307692307692307
RF_Mordred_Skin_sensitization,0.7055630936227951,0.7094594594594594,0.6996587030716723
